ID Registro,Cidade,País,Fonte Energia,Consumo MWh,Custo Unitário USD,Ano,Emissoes CO2 Ton,Perc Energia Renovavel,Residencias Atendidas,Investimento Infra Bilhoes,Emissão CO2,Eficiência Energetica,População Cidade,Indústria Predominante,Clima
1,Nova York,Estados Unidos,Carvão,12336,18,2015,323266,"0,8546",898740,2863,301567,6419,8128449,Financeiro,Temperado
2,Los Angeles,Estados Unidos,Hidrelétrica,13313,5,2021,495231,"0,4329",680078,2316,694095,8775,4135329,Tecnologia,Frio
3,São Paulo,Brasil,Nuclear,1941,1,2022,65146,"0,0599",558632,904,54098,5466,4630801,Mineração,Tropical
4,Rio de Janeiro,Brasil,Solar,7371,23,2023,262996,"0,1472",226628,1218,182305,9583,16925805,Agronegócio,Tropical
5,Berlim,Alemanha,Eólica,32809,5,2019,8124,"0,4783",10449,25,5684451,8337,11643573,Turismo,Tropical
6,Munique,Alemanha,Eólica,38205,18,2019,272963,"0,1624",665147,951,4402029,5994,18987200,Tecnologia,Frio
7,Mumbai,Índia,Carvão,7343,1,2020,416992,"0,2232",506958,576,608256,7793,7225782,Mineração,Temperado
8,Nova Délhi,Índia,Nuclear,42479,24,2020,237740,"0,0353",516122,365,5252996,6201,6827902,Financeiro,Temperado
9,Pequim,China,Hidrelétrica,44400,9,2018,243876,"0,1106",79325,2863,540832,635,17575134,Agronegócio,Tropical
10,Xangai,China,Eólica,6673,7,2023,132013,"0,6508",954195,3019,1150752,542,2014868,Tecnologia,Desértico
11,Tóquio,Japão,Eólica,1435,23,2023,453150,"0,7849",315826,2436,215737,8498,9002935,Agronegócio,Temperado
12,Osaka,Japão,Gás Natural,20207,23,2021,29904,"0,1216",676795,2452,4288598,6775,13400000,Mineração,Temperado
13,Londres,Reino Unido,Nuclear,14830,7,2016,49070,"0,5056",444831,651,344907,7131,7040241,Agronegócio,Desértico
14,Paris,França,Gás Natural,11091,23,2022,400617,"0,4602",485817,234,72647,8482,14483202,Tecnologia,Desértico
15,Toronto,Canadá,Gás Natural,10794,6,2017,51258,"0,5445",281222,4372,119825,7023,16319084,Manufatura,Desértico
16,Vancouver,Canadá,Solar,5781,8,2022,306046,"0,3779",171637,4026,349956,5079,13846931,Manufatura,Tropical
17,Sydney,Austrália,Eólica,16889,16,2022,343889,"0,7677",397407,4555,2321612,9546,11183457,Financeiro,Mediterrâneo
18,Melbourne,Austrália,Nuclear,37142,13,2015,249112,"0,0199",160553,2604,6470677,8745,15317532,Financeiro,Tropical
19,Cidade do México,México,Solar,48567,13,2022,393231,"0,5647",217316,250,10890012,9093,9672832,Mineração,Tropical
20,Moscou,Rússia,Carvão,13528,5,2015,454941,"0,0501",649012,4601,1079262,7005,12114816,Turismo,Tropical
21,Nova York,Estados Unidos,Nuclear,44693,16,2023,178088,"0,1953",120427,1898,6095544,8638,2045661,Manufatura,Desértico
22,Los Angeles,Estados Unidos,Nuclear,32821,7,2019,384607,"0,5119",42533,2998,462399,5918,13437037,Agronegócio,Temperado
23,São Paulo,Brasil,Hidrelétrica,37279,19,2017,86399,"0,7893",922896,3973,2153104,6159,18631260,Agronegócio,Mediterrâneo
24,Rio de Janeiro,Brasil,Carvão,8003,7,2017,336562,"0,6707",972679,3857,435286,5796,16929243,Agronegócio,Tropical
25,Berlim,Alemanha,Solar,38186,7,2022,174380,"0,2496",534635,1356,2238913,8682,13848816,Agronegócio,Temperado
26,Munique,Alemanha,Carvão,17731,14,2016,435712,"0,4214",374655,3066,2425547,9187,9499224,Mineração,Frio
27,Mumbai,Índia,Hidrelétrica,41057,6,2020,137286,"0,8609",132771,265,727797,6928,18023478,Manufatura,Desértico
28,Nova Délhi,Índia,Carvão,41537,12,2022,255059,"0,7808",272151,3645,10101585,8355,3845818,Financeiro,Mediterrâneo
29,Pequim,China,Hidrelétrica,17997,22,2019,223914,"0,0719",212434,261,2299129,6678,13945890,Agronegócio,Tropical
30,Xangai,China,Carvão,46696,1,2015,252280,"0,7761",797660,1361,921193,7831,4390372,Tecnologia,Desértico
31,Tóquio,Japão,Solar,20234,11,2019,12176,"0,6169",635049,3211,1867521,5786,4611393,Mineração,Tropical
32,Osaka,Japão,Solar,8796,2,2021,95735,"0,8463",962333,3098,1692599,7536,2197574,Tecnologia,Frio
33,Londres,Reino Unido,Gás Natural,34015,17,2022,124031,"0,4241",121776,885,5535786,525,11662044,Tecnologia,Tropical
34,Paris,França,Hidrelétrica,38712,25,2021,97842,"0,1471",747660,1451,7743759,7031,10357808,Financeiro,Tropical
35,Toronto,Canadá,Nuclear,21193,13,2022,468942,"0,3839",94027,3288,2231209,8012,19815646,Manufatura,Desértico
36,Vancouver,Canadá,Gás Natural,30442,12,2022,400078,"0,4624",369788,2353,6181944,5361,12611810,Turismo,Desértico
37,Sydney,Austrália,Nuclear,27344,5,2019,196266,"0,2833",697707,1591,467146,7592,14136999,Agronegócio,Tropical
38,Melbourne,Austrália,Carvão,1520,7,2019,106409,"0,5344",424376,206,82938,9622,3459540,Tecnologia,Temperado
39,Cidade do México,México,Eólica,47785,25,2016,220828,"0,2317",590942,1947,11561025,6743,19290090,Manufatura,Tropical
40,Moscou,Rússia,Nuclear,10893,9,2017,51691,"0,8582",952548,443,1157981,5069,18225075,Agronegócio,Mediterrâneo
41,Nova York,Estados Unidos,Solar,15159,21,2018,468715,"0,4094",964403,4429,3108924,7138,1690712,Agronegócio,Desértico
42,Los Angeles,Estados Unidos,Eólica,9803,15,2016,274770,"0,5769",537598,2391,1445149,556,14194407,Tecnologia,Mediterrâneo
43,São Paulo,Brasil,Carvão,44187,16,2023,285909,"0,5228",407018,4696,4860641,5707,14590423,Tecnologia,Desértico
44,Rio de Janeiro,Brasil,Eólica,38918,16,2023,365257,"0,1289",369066,1145,5751392,9708,9905446,Tecnologia,Mediterrâneo
45,Berlim,Alemanha,Solar,38418,11,2019,223150,"0,4364",834957,4707,1394533,6002,14957886,Manufatura,Desértico
46,Munique,Alemanha,Eólica,4557,15,2018,390894,"0,6103",525093,2694,559947,7737,6652760,Tecnologia,Temperado
47,Mumbai,Índia,Nuclear,25552,11,2015,61331,"0,5176",495410,596,4808715,6919,9811235,Mineração,Tropical
48,Nova Délhi,Índia,Gás Natural,28896,2,2023,496564,"0,7109",29162,3679,6451148,589,9881497,Turismo,Frio
