Código_Cliente,Experiencia_OnBoarding,Avaliação_da_Plataforma,Avaliação_Suporte,Forma de Pagamento,Interacoes_Suporte,Cancelou
Cliente_1,1,4,3,PIX,10,Cancelou
Cliente_2,4,5,2,Cartão,3,Renovou
Cliente_3,2,5,1,Boleto,2,Cancelou
Cliente_4,1,3,2,Cartão,1,Renovou
Cliente_5,4,2,2,PIX,5,Cancelou
Cliente_6,4,3,3,Cartão,3,Renovou
Cliente_7,4,1,1,PIX,7,Cancelou
Cliente_8,4,4,5,Cartão,4,Renovou
Cliente_9,2,1,1,Boleto,4,Cancelou
Cliente_10,4,3,4,Boleto,5,Renovou
Cliente_11,2,5,2,Boleto,2,Renovou
Cliente_12,3,4,5,PIX,4,Cancelou
Cliente_13,1,3,1,Boleto,3,Cancelou
Cliente_14,4,2,4,PIX,1,Renovou
Cliente_15,3,3,1,Boleto,5,Cancelou
Cliente_16,1,2,4,PIX,7,Renovou
Cliente_17,1,5,3,Boleto,7,Cancelou
Cliente_18,1,2,4,Boleto,1,Renovou
Cliente_19,3,1,5,PIX,0,Renovou
Cliente_20,2,1,4,PIX,4,Renovou
Cliente_21,3,1,1,Boleto,5,Cancelou
Cliente_22,4,1,2,Cartão,2,Renovou
Cliente_23,4,1,4,Boleto,7,Cancelou
Cliente_24,3,2,5,Boleto,0,Cancelou
Cliente_25,1,1,4,Cartão,3,Renovou
Cliente_26,2,4,3,Boleto,2,Cancelou
Cliente_27,2,2,1,Boleto,0,Cancelou
Cliente_28,2,5,2,Cartão,0,Renovou
Cliente_29,2,2,5,Cartão,9,Cancelou
Cliente_30,1,3,4,Cartão,2,Renovou
Cliente_31,2,5,1,Boleto,13,Cancelou
Cliente_32,1,1,4,Cartão,1,Renovou
Cliente_33,4,1,4,Cartão,0,Renovou
Cliente_34,1,3,4,PIX,2,Cancelou
Cliente_35,4,1,3,Boleto,3,Renovou
Cliente_36,2,5,5,Cartão,5,Cancelou
Cliente_37,3,5,3,PIX,1,Renovou
Cliente_38,4,5,5,PIX,2,Renovou
Cliente_39,4,2,1,PIX,13,Renovou
Cliente_40,1,2,2,Cartão,2,Renovou
Cliente_41,3,5,3,PIX,1,Cancelou
Cliente_42,4,2,5,Boleto,1,Renovou
Cliente_43,1,2,1,PIX,0,Cancelou
Cliente_44,2,4,3,PIX,3,Cancelou
Cliente_45,4,2,5,Boleto,1,Renovou
Cliente_46,2,4,1,PIX,3,Cancelou
Cliente_47,4,4,2,Cartão,2,Cancelou
Cliente_48,4,2,5,PIX,9,Renovou
Cliente_49,3,2,3,Boleto,11,Renovou
Cliente_50,4,2,3,Cartão,2,Renovou
